index,assetsType,component_count,ema_avg_deviation,ema_max_deviation,issues
CFG-USDC,Altcoins,4,0.2167,0.4501,AL-1: Binance available but not in components; AL-1: Bybit available but not in components
CFG-USDT,Altcoins,4,0.2653,0.5643,AL-1: Binance available but not in components; AL-1: Bybit available but not in components
CHZ-EUR,Altcoins,2,0.1844,0.2622,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3)
CHZ-TRY,Altcoins,3,0.1046,0.1415,AL-1: Bybit available but not in components
CHZ-USD,Altcoins,4,0.2506,0.3556,AL-1: Bybit available but not in components
CITY-USD,Altcoins,3,0.0344,0.0482,AL-1: Bybit available but not in components
CL-USDT,TradFi,3,0.0693,0.1160,TF-1: Pyth available but not in components; TF-1: dxFeed available but not in components
COIN-USDT,TradFi,6,0.1017,0.2676,TF-1: dxFeed available but not in components
COMP-EUR,Altcoins,2,0.0434,0.0661,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3)
COMP-USD,Altcoins,4,0.0525,0.0855,AL-1: Binance available but not in components
CRCL-USDT,TradFi,6,0.1207,0.2693,TF-1: dxFeed available but not in components
CRV-EUR,Altcoins,4,0.3230,0.4809,AL-1: Binance available but not in components; AL-1: Bybit available but not in components
CSPR-EUR,Altcoins,1,0.0508,0.0508,AL-1: OKX available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
CSPR-USD,Altcoins,4,0.1335,0.2147,AL-1: Bybit available but not in components
DAI-TRY,Altcoins,3,0.0533,0.1034,AL-1: Binance available but not in components
DAI-USD,Altcoins,3,0.0114,0.0219,AL-1: Binance available but not in components
DAI-USDT,Altcoins,3,0.0627,0.1025,AL-1: Binance available but not in components
DOGE-EUR,Topcoins,5,0.1598,0.3378,TC: ema_avg_deviation 0.16% ≥ 0.15%; TC: ema_max_deviation 0.34% ≥ 0.3%
DOGE-TRY,Topcoins,3,0.0631,0.0691,TC: only 3 components (need ≥5)
DOOD-USDT,Altcoins,4,0.5482,0.6720,AL-5: ema_avg_deviation 0.55% > 0.5%
DORA-USDT,Altcoins,2,0.2228,0.2369,AL-4: only 2 distinct exchanges (need ≥3)
DOT-EUR,Topcoins,4,0.0693,0.0978,TC: only 4 components (need ≥5)
DOT-TRY,Topcoins,2,0.0991,0.1003,TC: only 2 components (need ≥5)
DOT-USDC,Topcoins,4,0.0734,0.1475,TC: only 4 components (need ≥5)
DYDX-USDC,Altcoins,5,0.9680,1.3937,AL-5: ema_avg_deviation 0.97% > 0.5%
EGLD-EUR,Altcoins,3,0.1372,0.2701,AL-1: OKX available but not in components; AL-1: Bybit available but not in components
EGLD-USD,Altcoins,5,0.1542,0.3017,AL-1: Bybit available but not in components
EIGEN-TRY,Altcoins,2,0.2580,0.2652,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3)
ELF-EUR,Altcoins,2,0.0504,0.0573,AL-4: only 2 distinct exchanges (need ≥3)
ELF-USD,Altcoins,2,0.0283,0.0384,AL-4: only 2 distinct exchanges (need ≥3)
ELF-USDC,Altcoins,2,0.0527,0.0792,AL-4: only 2 distinct exchanges (need ≥3)
ELF-USDT,Altcoins,2,0.0558,0.0578,AL-4: only 2 distinct exchanges (need ≥3)
ENA-TRY,Altcoins,2,0.0583,0.0875,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3)
ENJ-EUR,Altcoins,1,0.4306,0.4306,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
ENJ-USD,Altcoins,4,0.1255,0.2713,AL-1: Bybit available but not in components
ENJ-USDC,Altcoins,5,0.6972,0.8449,AL-5: ema_avg_deviation 0.70% > 0.5%
ENSO-USDT,Altcoins,4,0.1175,0.1959,AL-1: Bybit available but not in components
ETH-TRY,Topcoins,3,0.0695,0.1164,TC: only 3 components (need ≥5)
ETHFI-TRY,Altcoins,3,0.0581,0.1162,AL-1: Bybit available but not in components
ETHW-EUR,Altcoins,1,0.0304,0.0304,AL-1: OKX available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
ETHW-USD,Altcoins,4,0.1050,0.1283,AL-1: Bybit available but not in components
EURC-USD,Fiat,2,0.0058,0.0084,Fiat: only 2 components (need ≥3)
EWJ-USDT,TradFi,3,0.1974,0.3384,TF-1: dxFeed available but not in components; TF-1: Binance_LINEAR_INDEX available but not in components; TF-3: Binance_LINEAR_PERPETUAL (score 4) available but not used
EWY-USDT,TradFi,3,0.1238,0.1792,TF-1: dxFeed available but not in components; TF-1: Binance_LINEAR_INDEX available but not in components; TF-3: Binance_LINEAR_PERPETUAL (score 4) available but not used
FET-EUR,Altcoins,3,0.0851,0.1137,AL-1: Binance available but not in components; AL-1: Bybit available but not in components
FET-TRY,Altcoins,2,0.5919,0.7762,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_deviation 0.59% > 0.5%
FET-USD,Altcoins,4,0.0609,0.0877,AL-1: Bybit available but not in components
FET-USDC,Altcoins,5,0.0840,0.2245,AL-1: Bybit available but not in components
FIL-USDC,Altcoins,2,0.0723,0.1330,AL-1: OKX available but not in components; AL-4: only 2 distinct exchanges (need ≥3)
FLOKI-EUR,Altcoins,1,0.0420,0.0420,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
FLOKI-TRY,Altcoins,2,0.0872,0.1656,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3)
FLOKI-USD,Altcoins,5,0.0336,0.0651,AL-1: Bybit available but not in components
FLOW-EUR,Altcoins,4,0.1454,0.2013,AL-1: Bybit available but not in components
FLOW-USD,Altcoins,5,0.1403,0.3370,AL-1: Bybit available but not in components
FLUID-EUR,Altcoins,2,0.0826,0.1411,AL-4: only 2 distinct exchanges (need ≥3)
FLUID-USD,Altcoins,2,0.0982,0.1047,AL-4: only 2 distinct exchanges (need ≥3)
FLUID-USDC,Altcoins,2,0.0968,0.1285,AL-4: only 2 distinct exchanges (need ≥3)
FLUID-USDT,Altcoins,2,0.1519,0.1838,AL-4: only 2 distinct exchanges (need ≥3)
GALA-EUR,Altcoins,1,0.0408,0.0408,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
GALA-USD,Altcoins,4,0.1189,0.1409,AL-1: Bybit available but not in components
GALFT-USDT,Altcoins,1,0.0044,0.0044,AL-4: only 1 distinct exchanges (need ≥3)
GMT-USD,Altcoins,3,0.1304,0.2312,AL-1: Bybit available but not in components
GOAT-EUR,Altcoins,1,0.0742,0.0742,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
GOAT-USD,Altcoins,3,0.2589,0.4364,AL-1: OKX available but not in components; AL-1: Bybit available but not in components
GODS-USD,Altcoins,4,0.1387,0.2267,AL-1: Bybit available but not in components
GOOGL-USDT,TradFi,5,0.1603,0.3798,TF-1: dxFeed available but not in components
GRT-EUR,Altcoins,3,0.0893,0.1558,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-1: Bybit available but not in components
GRT-USD,Altcoins,4,0.1480,0.2184,AL-1: Bybit available but not in components
HBAR-EUR,Altcoins,2,0.1243,0.1280,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3)
HBAR-USD,Altcoins,5,0.0292,0.0520,AL-1: Bybit available but not in components
HOOD-USDT,TradFi,6,0.0402,0.0759,TF-1: dxFeed available but not in components
HYPE-TRY,Altcoins,5,0.0929,0.1626,AL-1: Bybit available but not in components
HYPE-USD,Altcoins,5,0.0946,0.1153,AL-1: Bybit available but not in components
HYPE-USDT,Altcoins,5,0.0563,0.0839,AL-1: Bybit available but not in components
ICP-EUR,Altcoins,4,0.1326,0.1675,AL-1: Bybit available but not in components
ICP-USD,Altcoins,5,0.0616,0.1048,AL-1: Bybit available but not in components
ICX-EUR,Altcoins,1,0.0336,0.0336,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
ICX-USD,Altcoins,4,0.1006,0.2250,AL-1: Bybit available but not in components
ID-EUR,Altcoins,2,0.1362,0.1448,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 2 distinct exchanges (need ≥3)
ID-USD,Altcoins,4,0.1148,0.2286,AL-1: Bybit available but not in components
IMX-EUR,Altcoins,1,0.0196,0.0264,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
INJ-EUR,Altcoins,3,0.1202,0.1316,AL-1: Binance available but not in components; AL-1: Bybit available but not in components
INJ-USD,Altcoins,4,0.0958,0.2258,AL-1: Bybit available but not in components
INJ-USDC,Altcoins,4,0.1233,0.2851,AL-1: Bybit available but not in components
INTC-USDT,TradFi,5,0.0571,0.0945,TF-1: dxFeed available but not in components
IOTA-EUR,Altcoins,1,0.0293,0.0293,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
J-USDT,Altcoins,1,0.0122,0.0136,AL-4: only 1 distinct exchanges (need ≥3)
JITOSOL-USDT,Altcoins,3,0.1443,0.2245,AL-4: only 2 distinct exchanges (need ≥3)
JOE-EUR,Altcoins,1,0.0776,0.0776,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
JTO-EUR,Altcoins,1,0.0274,0.0322,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
JTO-USD,Altcoins,4,0.0608,0.0922,AL-1: Bybit available but not in components
KNC-EUR,Altcoins,1,0.1714,0.1714,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
KSM-USD,Altcoins,4,0.1822,0.2558,AL-1: Binance available but not in components; AL-1: Bybit available but not in components
LA-USDT,Altcoins,5,0.1993,0.3762,AL-1: Binance available but not in components
LAYER-EUR,Altcoins,1,0.0223,0.0223,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
LDO-EUR,Altcoins,3,0.1474,0.2156,AL-1: Binance available but not in components; AL-1: Bybit available but not in components
LEO-EUR,Altcoins,2,0.0144,0.0166,AL-4: only 2 distinct exchanges (need ≥3)
LEO-USD,Altcoins,2,0.0085,0.0107,AL-4: only 2 distinct exchanges (need ≥3)
LEO-USDC,Altcoins,2,0.0119,0.0150,AL-4: only 2 distinct exchanges (need ≥3)
LINEA-TRY,Altcoins,2,0.2282,0.3052,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3)
LINK-USDC,Topcoins,4,0.0616,0.0824,TC: only 4 components (need ≥5)
LPT-EUR,Altcoins,1,0.1963,0.1963,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
LRC-EUR,Altcoins,1,0.0514,0.0514,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
LRC-USD,Altcoins,4,0.6034,1.4099,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_deviation 0.60% > 0.5%
LSK-EUR,Altcoins,1,0.0369,0.0369,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
LTC-USD,Topcoins,4,0.0330,0.0489,TC: only 4 components (need ≥5)
LTC-USDC,Topcoins,4,0.1609,0.2016,TC: ema_avg_deviation 0.16% ≥ 0.15%; TC: only 4 components (need ≥5)
LUNA-EUR,Altcoins,4,0.0600,0.0820,AL-1: Binance available but not in components
LUNA-TRY,Altcoins,2,0.0833,0.0871,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3)
LUNA-USD,Altcoins,4,0.0820,0.1338,AL-1: Binance available but not in components
LUNA-USDC,Altcoins,4,0.0790,0.1280,AL-1: Binance available but not in components
LUNA-USDT,Altcoins,4,0.1379,0.2871,AL-1: Binance available but not in components
MAGIC-EUR,Altcoins,1,0.0317,0.0317,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
MAGIC-TRY,Altcoins,4,0.0690,0.1198,AL-1: Bybit available but not in components
MAGIC-USD,Altcoins,5,0.1638,0.3369,AL-1: Bybit available but not in components
MANA-EUR,Altcoins,3,0.2249,0.3158,AL-1: Binance available but not in components; AL-1: Bybit available but not in components
MANA-USD,Altcoins,5,0.0781,0.1592,AL-1: Bybit available but not in components
MASK-EUR,Altcoins,1,0.1885,0.1885,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
MASK-USD,Altcoins,3,0.0815,0.1461,AL-1: Bybit available but not in components
ME-EUR,Altcoins,1,0.0285,0.0285,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
ME-USD,Altcoins,4,0.0872,0.1221,AL-1: Binance available but not in components
MENGO-USD,Altcoins,2,0.3187,0.3943,AL-4: only 2 distinct exchanges (need ≥3)
MENGO-USDT,Altcoins,2,0.3166,0.3528,AL-4: only 2 distinct exchanges (need ≥3)
MERL-EUR,Altcoins,2,0.2170,0.2990,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3)
MERL-TRY,Altcoins,3,0.1175,0.1650,AL-1: Bybit available but not in components
MERL-USD,Altcoins,3,0.1709,0.2589,AL-1: Bybit available but not in components
MERL-USDC,Altcoins,3,0.2543,0.4224,AL-1: Bybit available but not in components
MERL-USDT,Altcoins,3,0.1912,0.3377,AL-1: Bybit available but not in components
MET-USD,Altcoins,3,0.1639,0.2557,AL-1: Binance available but not in components
MET-USDT,Altcoins,3,0.1841,0.2496,AL-1: Binance available but not in components
META-USDT,TradFi,5,0.1449,0.2701,TF-1: dxFeed available but not in components
METIS-EUR,Altcoins,1,0.0213,0.0213,AL-1: OKX available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
MEW-EUR,Altcoins,1,0.0213,0.0213,AL-1: OKX available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
MEW-USD,Altcoins,4,0.1350,0.2860,AL-1: Bybit available but not in components
MINA-USD,Altcoins,4,0.1620,0.2864,AL-1: Bybit available but not in components
MON-EUR,Altcoins,3,0.7033,0.7518,AL-1: OKX available but not in components; AL-5: ema_avg_deviation 0.70% > 0.5%
MON-TRY,Altcoins,3,0.0906,0.1158,AL-1: OKX available but not in components
MON-USD,Altcoins,3,0.1017,0.1179,AL-1: OKX available but not in components
MON-USDC,Altcoins,3,0.4589,0.4899,AL-1: OKX available but not in components
MON-USDT,Altcoins,4,0.1529,0.1787,AL-1: OKX available but not in components
MOODENG-EUR,Altcoins,3,0.3250,0.4582,AL-1: OKX available but not in components
MORPHO-EUR,Altcoins,4,0.1033,0.1810,AL-1: Binance available but not in components
MORPHO-USD,Altcoins,4,0.0836,0.1307,AL-1: Binance available but not in components
MORPHO-USDC,Altcoins,4,0.0979,0.1422,AL-1: Binance available but not in components
MORPHO-USDT,Altcoins,4,0.0763,0.1162,AL-1: Binance available but not in components
MOVE-EUR,Altcoins,1,0.1433,0.1433,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
MSFT-USDT,TradFi,4,0.2219,0.3991,TF-1: dxFeed available but not in components
MSTR-USDT,TradFi,6,0.1408,0.5844,TF-1: dxFeed available but not in components; TF-6: ema_max_deviation 0.58% > 0.5%
MU-USDT,TradFi,4,0.3769,0.7662,TF-1: dxFeed available but not in components; TF-6: ema_max_deviation 0.77% > 0.5%
NAVX-USD,Altcoins,4,0.2164,0.5856,AL-1: OKX available but not in components
NAVX-USDT,Altcoins,4,0.2139,0.5576,AL-1: OKX available but not in components
NEIRO-EUR,Altcoins,2,0.0643,0.0669,AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3)
NEIRO-TRY,Altcoins,1,0.0192,0.0203,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
NEIRO-USD,Altcoins,3,0.0708,0.1256,AL-1: Bybit available but not in components
NEIRO-USDC,Altcoins,2,0.1932,0.2050,AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3)
NFLX-USDT,TradFi,3,0.0336,0.0592,TF-1: Ondo_TICKER available but not in components; TF-1: dxFeed available but not in components
NFT-USD,Altcoins,3,0.1834,0.3351,AL-1: Bybit available but not in components
NIGHT-EUR,Altcoins,3,0.0491,0.0703,AL-1: Binance available but not in components
NIGHT-TRY,Altcoins,3,0.0382,0.0489,AL-1: Binance available but not in components
NIGHT-USD,Altcoins,3,0.0672,0.1086,AL-1: Binance available but not in components
NIGHT-USDC,Altcoins,3,0.0464,0.0557,AL-1: Binance available but not in components
NIGHT-USDT,Altcoins,3,0.0371,0.0449,AL-1: Binance available but not in components
NOT-EUR,Altcoins,1,0.1192,0.1192,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
NOT-USD,Altcoins,4,0.1135,0.2037,AL-1: Bybit available but not in components
NVDA-USDT,TradFi,5,0.0573,0.1365,TF-1: dxFeed available but not in components; TF-1: Binance_LINEAR_INDEX available but not in components; TF-3: Binance_LINEAR_PERPETUAL (score 4) available but not used
OKSOL-SOL,Topcoins,3,0.0086,0.0129,TC: only 3 components (need ≥5)
