index,exchange,symbol,conversion type(1× 2÷ 0 noConversion),conversionIndex,weight,tier value,priceMultiple,emaLagMs,uniqueExchangeAlias,chainId,tokenAddress,poolAddress,baseTokenAddress,quoteTokenAddress,subscribeName,sharesMultiplierSource,sharesMultiplierToken,sharesMultiplierBenchmark,conversionCheck
ANIME-EUR,Binance,ANIME/USDT,1,USDT-EUR,0.5,4,1,0,,,,,,,,,,,TRUE
ANIME-EUR,Mxc,ANIME/USDT,1,USDT-EUR,0.25,2,1,0,,,,,,,,,,,TRUE
ANIME-EUR,Gate,ANIME/USDT,1,USDT-EUR,0.25,2,1,0,,,,,,,,,,,TRUE
APE-EUR,Coinbase,APE/EUR,0,,1.0,3,1,0,,,,,,,,,,,TRUE
APE-USD,Binance,APE/USDT,1,USDT-USD,0.267,4,1,0,,,,,,,,,,,TRUE
APE-USD,Coinbase,APE/USD,0,,0.2,3,1,0,,,,,,,,,,,TRUE
APE-USD,OKX,APE/USDT,1,USDT-USD,0.267,4,1,0,,,,,,,,,,,TRUE
APE-USD,Kucoin,APE/USDT,1,USDT-USD,0.133,2,1,0,,,,,,,,,,,TRUE
APE-USD,Gate,APE/USDT,1,USDT-USD,0.133,2,1,0,,,,,,,,,,,TRUE
API3-USD,Coinbase,API3/USD,0,,0.273,3,1,0,,,,,,,,,,,TRUE
API3-USD,OKX,API3/USDT,1,USDT-USD,0.364,4,1,0,,,,,,,,,,,TRUE
API3-USD,Binance,API3/USDT,1,USDT-USD,0.364,4,1,0,,,,,,,,,,,TRUE
APT-EUR,Binance,APT/EUR,0,,0.444,4,1,0,,,,,,,,,,,TRUE
APT-EUR,Bitvavo,APT/EUR,0,,0.222,2,1,0,,,,,,,,,,,TRUE
APT-EUR,Kraken,APT/EUR,0,,0.333,3,1,0,,,,,,,,,,,TRUE
APT-TRY,Binance,APT/TRY,0,,0.4,4,1,0,,,,,,,,,,,TRUE
APT-TRY,BTCTurk,APT/TRY,0,,0.2,2,1,0,,,,,,,,,,,TRUE
