index,assetsType,component_count,ema_avg_deviation,ema_max_deviation,issues
ARB-USDT,Altcoins,4,0.2113,0.2405,AL-5: ema_avg_update_lag 1493s > 300s
ARG-EUR,Altcoins,2,0.1666,0.1890,AL-4: only 2 distinct exchanges (need ≥3)
ARG-USD,Altcoins,2,0.2049,0.2449,AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1278s > 300s
ARG-USDC,Altcoins,2,0.1975,0.2455,AL-4: only 2 distinct exchanges (need ≥3)
ARG-USDT,Altcoins,2,0.2372,0.2898,AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1731s > 300s
ARKM-EUR,Altcoins,4,0.2539,0.4549,AL-5: ema_avg_update_lag 1884s > 300s
ARKM-TRY,Altcoins,3,0.1813,0.2292,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1891s > 300s
ARKM-USD,Altcoins,4,0.2823,0.4517,AL-5: ema_avg_update_lag 1413s > 300s
ARKM-USDC,Altcoins,4,0.2569,0.4487,AL-5: ema_avg_update_lag 1814s > 300s
ARKM-USDT,Altcoins,4,0.2900,0.5017,AL-5: ema_avg_update_lag 1575s > 300s
ASP-USD,Altcoins,3,0.2620,0.4032,AL-5: ema_avg_update_lag 1184s > 300s
ASP-USDT,Altcoins,3,0.3252,0.4784,AL-5: ema_avg_update_lag 1377s > 300s
ASTER-EUR,Altcoins,5,0.1000,0.1606,AL-5: ema_avg_update_lag 1699s > 300s
ASTER-TRY,Altcoins,2,0.0875,0.0918,AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1698s > 300s
ASTER-USD,Altcoins,5,0.0863,0.1349,AL-5: ema_avg_update_lag 1246s > 300s
ASTER-USDC,Altcoins,5,0.0918,0.1474,AL-5: ema_avg_update_lag 1161s > 300s
ASTER-USDT,Altcoins,5,0.1083,0.1568,AL-5: ema_avg_update_lag 1652s > 300s
ASTR-EUR,Altcoins,3,0.2147,0.2791,AL-5: ema_avg_update_lag 1035s > 300s
ASTR-USD,Altcoins,3,0.2153,0.2775,AL-5: ema_avg_update_lag 1179s > 300s
